Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	msc_11	msc_12	msc_13	msc_14	msc_15
ENSG00000223972	0	1	0	0	0	0	0	0	1	0
ENSG00000227232	12	26	20	28	24	5	13	21	11	14
ENSG00000278267	1	4	1	2	2	2	2	3	0	3
ENSG00000243485	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	3	0	0	0	1	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	1	1	0
ENSG00000269981	0	0	0	0	2	1	0	0	1	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	2	1	2	5	3	0	0	0	1	2
ENSG00000222623	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	3	0	0	0	2	1	0	0
ENSG00000279457	43	39	29	59	44	45	12	20	51	48
ENSG00000273874	0	1	0	0	0	0	0	0	0	0
ENSG00000228463	1	5	3	11	4	1	13	7	11	7
ENSG00000286448	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	1	0	0	1	1	1	1	1
ENSG00000236601	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	3	6	4	0	3	3	4	6	7	6
ENSG00000269732	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	5	2	1	0	2	1	0	1	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	9	11	5	3	29	95	18	93	68	61
